"date","field","value","ticker"
2018-03-19,"PX_LAST",50.671,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-20,"PX_LAST",58.771,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-21,"PX_LAST",58.026,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-22,"PX_LAST",59.452,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-23,"PX_LAST",60.61,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-26,"PX_LAST",61.768,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-27,"PX_LAST",60.653,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-28,"PX_LAST",61.223,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-29,"PX_LAST",60.228,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-30,"PX_LAST",59.867,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-02,"PX_LAST",59.9,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-03,"PX_LAST",60.549,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-04,"PX_LAST",60.102,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-05,"PX_LAST",58.152,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-06,"PX_LAST",57.886,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-09,"PX_LAST",57.609,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-10,"PX_LAST",57.264,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-11,"PX_LAST",57.914,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-12,"PX_LAST",57.089,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-13,"PX_LAST",55.91,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-16,"PX_LAST",53.944,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-17,"PX_LAST",52.785,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-18,"PX_LAST",53.169,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-19,"PX_LAST",54.143,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-20,"PX_LAST",54.803,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-23,"PX_LAST",55.049,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-24,"PX_LAST",55.437,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-25,"PX_LAST",56.296,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-26,"PX_LAST",54.967,"ITRX EUR CDSI GEN 5Y CORP"
2018-04-27,"PX_LAST",54.432,"ITRX EUR CDSI GEN 5Y CORP"
2018-03-19,"PX_LAST",255.397,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-20,"PX_LAST",285.881,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-21,"PX_LAST",282.796,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-22,"PX_LAST",288.468,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-23,"PX_LAST",290.769,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-26,"PX_LAST",292.933,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-27,"PX_LAST",287.522,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-28,"PX_LAST",289.693,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-29,"PX_LAST",286.375,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-30,"PX_LAST",285.126,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-02,"PX_LAST",284.278,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-03,"PX_LAST",288.356,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-04,"PX_LAST",289.347,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-05,"PX_LAST",285,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-06,"PX_LAST",285.806,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-09,"PX_LAST",283.579,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-10,"PX_LAST",281.381,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-11,"PX_LAST",282.49,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-12,"PX_LAST",280.884,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-13,"PX_LAST",276.047,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-16,"PX_LAST",272.337,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-17,"PX_LAST",268.954,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-18,"PX_LAST",271.332,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-19,"PX_LAST",274.449,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-20,"PX_LAST",275.149,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-23,"PX_LAST",275.349,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-24,"PX_LAST",275.408,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-25,"PX_LAST",278.581,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-26,"PX_LAST",274.152,"ITRX XOVER CDSI GEN 5Y CORP"
2018-04-27,"PX_LAST",271.534,"ITRX XOVER CDSI GEN 5Y CORP"
2018-03-19,"PX_LAST",53.418,"SNRFIN CDSI GEN 5Y CORP"
2018-03-20,"PX_LAST",62.624,"SNRFIN CDSI GEN 5Y CORP"
2018-03-21,"PX_LAST",62.713,"SNRFIN CDSI GEN 5Y CORP"
2018-03-22,"PX_LAST",65.144,"SNRFIN CDSI GEN 5Y CORP"
2018-03-23,"PX_LAST",67.367,"SNRFIN CDSI GEN 5Y CORP"
2018-03-26,"PX_LAST",68.715,"SNRFIN CDSI GEN 5Y CORP"
2018-03-27,"PX_LAST",67.322,"SNRFIN CDSI GEN 5Y CORP"
2018-03-28,"PX_LAST",67.682,"SNRFIN CDSI GEN 5Y CORP"
2018-03-29,"PX_LAST",66.309,"SNRFIN CDSI GEN 5Y CORP"
2018-03-30,"PX_LAST",65.686,"SNRFIN CDSI GEN 5Y CORP"
2018-04-02,"PX_LAST",65.729,"SNRFIN CDSI GEN 5Y CORP"
2018-04-03,"PX_LAST",65.833,"SNRFIN CDSI GEN 5Y CORP"
2018-04-04,"PX_LAST",65.467,"SNRFIN CDSI GEN 5Y CORP"
2018-04-05,"PX_LAST",62.923,"SNRFIN CDSI GEN 5Y CORP"
2018-04-06,"PX_LAST",62.778,"SNRFIN CDSI GEN 5Y CORP"
2018-04-09,"PX_LAST",61.305,"SNRFIN CDSI GEN 5Y CORP"
2018-04-10,"PX_LAST",60.619,"SNRFIN CDSI GEN 5Y CORP"
2018-04-11,"PX_LAST",60.319,"SNRFIN CDSI GEN 5Y CORP"
2018-04-12,"PX_LAST",59.012,"SNRFIN CDSI GEN 5Y CORP"
2018-04-13,"PX_LAST",57.634,"SNRFIN CDSI GEN 5Y CORP"
2018-04-16,"PX_LAST",56.535,"SNRFIN CDSI GEN 5Y CORP"
2018-04-17,"PX_LAST",55.739,"SNRFIN CDSI GEN 5Y CORP"
2018-04-18,"PX_LAST",56.143,"SNRFIN CDSI GEN 5Y CORP"
2018-04-19,"PX_LAST",56.879,"SNRFIN CDSI GEN 5Y CORP"
2018-04-20,"PX_LAST",57.096,"SNRFIN CDSI GEN 5Y CORP"
2018-04-23,"PX_LAST",57.032,"SNRFIN CDSI GEN 5Y CORP"
2018-04-24,"PX_LAST",56.979,"SNRFIN CDSI GEN 5Y CORP"
2018-04-25,"PX_LAST",57.377,"SNRFIN CDSI GEN 5Y CORP"
2018-04-26,"PX_LAST",56.241,"SNRFIN CDSI GEN 5Y CORP"
2018-04-27,"PX_LAST",56.392,"SNRFIN CDSI GEN 5Y CORP"
